VCN.TO,Daily Ret,Ret Sqd,Est Var,Vol,Est Vol,,,
$25.19,,,,,,,omega,0.00000
$23.57,0.0000%,0.0000%,0.0075%,0.0230%,0.8646%,,,
$23.57,0.0000%,0.0000%,0.0067%,0.0230%,0.8190%,,,
$23.52,-0.2228%,0.0006%,0.0060%,0.2457%,0.7766%,,,
$23.64,0.5191%,0.0025%,0.0055%,0.4961%,0.7411%,,,
$23.52,-0.5191%,0.0029%,0.0052%,0.5421%,0.7208%,,,
$23.52,0.0000%,0.0000%,0.0050%,0.0230%,0.7056%,,,
$23.52,0.0000%,0.0000%,0.0045%,0.0230%,0.6713%,,,
$23.69,0.7038%,0.0046%,0.0041%,0.6809%,0.6394%,,,
$23.45,-1.0017%,0.0105%,0.0042%,1.0246%,0.6455%,,,
$23.52,0.2978%,0.0008%,0.0048%,0.2749%,0.6927%,,,
$23.52,0.0000%,0.0000%,0.0044%,0.0230%,0.6648%,,,
$23.52,0.0000%,0.0000%,0.0040%,0.0230%,0.6334%,,,
$22.77,-3.2493%,0.1071%,0.0037%,3.2722%,0.6044%,,,
$22.71,-0.2692%,0.0009%,0.0136%,0.2921%,1.1675%,,,
$22.52,-0.8507%,0.0076%,0.0122%,0.8737%,1.1054%,,,
$22.52,0.0000%,0.0000%,0.0116%,0.0230%,1.0782%,,,
$22.52,0.0000%,0.0000%,0.0104%,0.0230%,1.0182%,,,
$22.35,-0.7406%,0.0058%,0.0093%,0.7636%,0.9622%,,,
$22.77,1.8605%,0.0338%,0.0088%,1.8376%,0.9403%,,,
$23.00,0.9935%,0.0094%,0.0112%,0.9706%,1.0563%,,,
$22.94,-0.2665%,0.0008%,0.0109%,0.2895%,1.0422%,,,
$23.08,0.6081%,0.0034%,0.0098%,0.5852%,0.9887%,,,
$23.43,1.5417%,0.0231%,0.0091%,1.5187%,0.9521%,,,
$23.52,0.3559%,0.0011%,0.0103%,0.3329%,1.0162%,,,
$23.40,-0.5249%,0.0030%,0.0093%,0.5479%,0.9659%,,,
$23.20,-0.8305%,0.0073%,0.0086%,0.8535%,0.9290%,,,
$22.99,-0.9139%,0.0088%,0.0084%,0.9369%,0.9180%,,,
$22.82,-0.7295%,0.0057%,0.0084%,0.7525%,0.9160%,,,
$22.82,0.0000%,0.0000%,0.0081%,0.0230%,0.8977%,,,
$22.49,-1.4752%,0.0224%,0.0072%,1.4981%,0.8499%,,,
$22.00,-2.2144%,0.0501%,0.0086%,2.2374%,0.9297%,,,
$21.97,-0.1200%,0.0002%,0.0125%,0.1430%,1.1203%,,,
$21.75,-1.0058%,0.0106%,0.0112%,1.0288%,1.0584%,,,
$21.85,0.4438%,0.0018%,0.0110%,0.4209%,1.0494%,,,
$21.48,-1.7053%,0.0299%,0.0100%,1.7283%,0.9999%,,,
$21.81,1.5441%,0.0231%,0.0118%,1.5212%,1.0865%,,,
$21.30,-2.3665%,0.0571%,0.0127%,2.3895%,1.1292%,,,
$21.06,-1.1210%,0.0131%,0.0168%,1.1440%,1.2980%,,,
$21.20,0.6244%,0.0036%,0.0162%,0.6014%,1.2741%,,,
$20.89,-1.4629%,0.0221%,0.0148%,1.4859%,1.2157%,,,
$21.28,1.8770%,0.0344%,0.0153%,1.8540%,1.2358%,,,
$21.86,2.6907%,0.0712%,0.0169%,2.6678%,1.2996%,,,
$21.46,-1.8677%,0.0357%,0.0219%,1.8906%,1.4783%,,,
$21.80,1.5857%,0.0244%,0.0228%,1.5628%,1.5108%,,,
$21.88,0.3624%,0.0012%,0.0226%,0.3394%,1.5031%,,,
$22.32,1.9897%,0.0387%,0.0202%,1.9668%,1.4196%,,,
$22.60,1.2530%,0.0151%,0.0216%,1.2300%,1.4700%,,,
$22.45,-0.6637%,0.0047%,0.0206%,0.6867%,1.4362%,,,
$22.00,-2.0578%,0.0433%,0.0188%,2.0808%,1.3697%,,,
$22.30,1.3503%,0.0176%,0.0208%,1.3273%,1.4430%,,,
$22.62,1.4490%,0.0203%,0.0202%,1.4261%,1.4204%,,,
$22.59,-0.1557%,0.0003%,0.0199%,0.1786%,1.4094%,,,
$22.17,-1.8472%,0.0350%,0.0177%,1.8701%,1.3291%,,,
$21.70,-2.1653%,0.0479%,0.0191%,2.1882%,1.3805%,,,
$21.54,-0.7323%,0.0057%,0.0215%,0.7552%,1.4672%,,,
$21.34,-0.9436%,0.0093%,0.0196%,0.9666%,1.4017%,,,
$21.93,2.7243%,0.0730%,0.0183%,2.7014%,1.3543%,,,
$22.23,1.3942%,0.0188%,0.0233%,1.3712%,1.5267%,,,
$22.84,2.6929%,0.0713%,0.0225%,2.6699%,1.4993%,,,
$22.92,0.3459%,0.0010%,0.0268%,0.3230%,1.6369%,,,
$22.72,-0.8865%,0.0083%,0.0238%,0.9094%,1.5443%,,,
$22.81,0.3864%,0.0013%,0.0219%,0.3634%,1.4813%,,,
$22.58,-1.0078%,0.0106%,0.0196%,1.0307%,1.3998%,,,
$22.58,0.0000%,0.0000%,0.0184%,0.0230%,1.3571%,,,
$22.58,0.0000%,0.0000%,0.0164%,0.0230%,1.2791%,,,
$22.71,0.5826%,0.0031%,0.0145%,0.5597%,1.2060%,,,
$22.71,0.0000%,0.0000%,0.0132%,0.0230%,1.1508%,,,
$23.03,1.4228%,0.0196%,0.0118%,1.3999%,1.0861%,,,
