"","VCN.TO","VEE.TO","VFV.TO","VVL.TO","VAB.TO","VBU.TO","XSU.TO"
"302",27.679123,30.433331,51.278145,28.210238,23.106226,23.430628,28.812862
"303",27.651928,30.257948,50.795738,27.98818,22.95096,23.402815,28.861124
"304",27.597527,30.147186,50.360603,27.69211,22.978357,23.439892,28.783905
"305",27.506868,30.008724,50.379528,27.756876,22.887032,23.44916,28.803213
"306",27.624725,30.248718,50.814651,28.034443,22.877895,23.328669,29.121746
"307",27.824184,30.396408,51.221394,28.404537,22.841366,23.300867,29.276184
"308",27.806047,30.230253,51.287605,28.441544,22.823101,23.310131,29.343752
"309",27.905781,30.276413,51.268688,28.404537,22.78657,23.291595,29.32445
"310",27.905781,30.470253,51.372742,28.469301,22.795704,23.328669,29.449934
"311",28.032705,30.756407,51.911915,28.820887,22.759165,23.273056,29.642982
"312",28.123365,30.682556,51.86462,28.913408,22.795704,23.263792,29.633331
"313",28.295769,30.659266,52.106819,29.079952,22.743532,23.235987,29.739508
"314",28.441719,30.743128,52.021336,29.084578,22.752682,23.235987,29.739508
"315",28.432594,30.575392,52.030834,29.190977,22.752682,23.291595,29.836035
"316",28.578545,30.081488,52.068825,29.116962,22.825903,23.337936,29.864992
"317",28.487328,30.034893,51.973846,29.283501,22.789297,23.337936,30.029083
"318",28.742735,30.156038,52.714699,29.736862,22.743532,23.217445,30.54067
"319",28.81571,30.072166,52.600731,29.699854,22.743532,23.254524,30.637194
"320",28.861317,30.500841,52.904655,29.949667,22.825903,23.254524,30.704763
"321",28.961664,30.556753,53.341579,30.162472,22.789297,23.196974,31.042603
"322",29.01639,30.948151,53.351074,30.217985,22.761833,23.252663,31.090866
"323",29.01639,30.929508,53.360573,30.097702,22.770996,23.271233,31.042603
"324",29.134979,31.376816,54.082432,30.430786,22.816748,23.243383,31.119827
"325",29.034634,31.171806,53.911461,30.310505,22.816748,23.187685,31.090866
"326",29.116728,31.29295,53.806992,30.245741,22.816748,23.2341,31.023298
"327",29.171459,31.255665,53.68351,30.162472,22.835056,23.261948,31.023298
"328",29.071117,31.283625,53.636028,30.023687,22.889971,23.271233,30.994343
"329",29.180584,31.609789,53.749996,30.190228,22.954039,23.289799,30.946079
"330",29.180584,31.684345,54.034939,30.254993,22.963186,23.308357,30.936424
"331",29.207947,31.53524,54.082432,30.227236,23.008945,23.308357,30.820595
"332",29.162334,31.395454,53.854473,30.190228,22.972338,23.2341,30.984688
"333",29.198824,31.227716,53.930466,30.097702,23.036402,23.271233,30.907469
"334",29.28092,31.675024,54.804291,30.717609,22.979532,23.224817,31.071558
"335",29.262682,31.479324,54.737804,30.606583,23.007053,23.224817,30.849548
"336",29.353895,31.628429,54.956261,30.911907,22.979532,23.215527,30.897812
"337",29.271801,31.852087,55.231709,30.847137,23.01622,23.178406,30.743376
